timestamp,intersection_id,intersection_name,event_type,response_time_min,response_time_with_preemption_min,congestion_at_event,vehicles_cleared
2025-01-01 07:52:00,INT-07,Business Bay - Marasi Dr,ambulance,8.1,5.9,0.25,27
2025-01-01 22:27:00,INT-01,Al Rigga - Salahuddin,fire_truck,12.0,8.2,0.87,25
2025-01-01 14:30:00,INT-03,Al Maktoum Bridge,ambulance,21.9,20.0,0.29,13
2025-01-01 03:06:00,INT-15,Hessa Street - Al Barsha,ambulance,14.9,11.7,0.8,13
2025-01-01 18:35:00,INT-11,Palm Jumeirah Tunnel,ambulance,9.6,6.7,0.23,28
2025-01-01 15:41:00,INT-12,Marina Walk - JBR,police,8.3,6.7,0.36,29
2025-01-01 09:31:00,INT-16,Dubai Airport - Terminal 3,ambulance,11.6,8.7,0.52,14
2025-01-02 22:23:00,INT-07,Business Bay - Marasi Dr,police,7.4,4.1,0.45,15
2025-01-02 18:51:00,INT-05,Sheikh Zayed Rd - Interchange 1,ambulance,8.9,5.0,0.65,19
2025-01-02 14:08:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,8.6,6.4,0.67,18
2025-01-02 22:15:00,INT-15,Hessa Street - Al Barsha,ambulance,9.7,6.9,0.72,29
2025-01-02 20:41:00,INT-02,Deira City Centre,police,16.0,14.3,0.7,21
2025-01-02 12:28:00,INT-10,Jumeirah Beach Rd,ambulance,9.4,5.5,0.9,19
2025-01-03 08:40:00,INT-04,Bur Dubai - Khalid Bin Waleed,fire_truck,17.4,15.4,0.46,27
2025-01-03 19:05:00,INT-10,Jumeirah Beach Rd,ambulance,9.4,5.7,0.8,9
2025-01-03 18:56:00,INT-01,Al Rigga - Salahuddin,ambulance,12.2,9.2,0.22,10
2025-01-04 12:49:00,INT-02,Deira City Centre,ambulance,9.3,7.4,0.53,21
2025-01-04 19:38:00,INT-16,Dubai Airport - Terminal 3,police,12.4,10.2,0.23,6
2025-01-04 07:29:00,INT-05,Sheikh Zayed Rd - Interchange 1,ambulance,11.0,7.5,0.32,13
2025-01-04 17:06:00,INT-09,Al Quoz Industrial,ambulance,13.4,10.1,0.7,18
2025-01-05 13:31:00,INT-08,Dubai Mall Junction,police,6.3,3.2,0.81,23
2025-01-05 09:11:00,INT-05,Sheikh Zayed Rd - Interchange 1,ambulance,8.2,5.7,0.87,21
2025-01-05 19:20:00,INT-01,Al Rigga - Salahuddin,ambulance,9.2,6.0,0.49,29
2025-01-06 12:03:00,INT-09,Al Quoz Industrial,ambulance,10.1,7.3,0.82,7
2025-01-06 08:14:00,INT-11,Palm Jumeirah Tunnel,ambulance,8.9,5.7,0.21,14
2025-01-06 19:03:00,INT-09,Al Quoz Industrial,ambulance,11.1,9.6,0.29,11
2025-01-07 19:41:00,INT-15,Hessa Street - Al Barsha,ambulance,8.7,6.8,0.23,22
2025-01-07 04:30:00,INT-06,DIFC - Gate Avenue,ambulance,9.5,6.9,0.82,17
2025-01-07 13:06:00,INT-10,Jumeirah Beach Rd,ambulance,12.2,10.5,0.65,26
2025-01-07 12:46:00,INT-14,Academic City Roundabout,police,7.4,4.3,0.47,23
2025-01-07 21:19:00,INT-01,Al Rigga - Salahuddin,ambulance,13.8,11.9,0.71,24
2025-01-08 09:29:00,INT-02,Deira City Centre,police,7.4,5.9,0.68,14
2025-01-08 11:43:00,INT-02,Deira City Centre,police,16.5,14.2,0.27,16
2025-01-08 07:38:00,INT-03,Al Maktoum Bridge,fire_truck,10.3,8.3,0.87,10
2025-01-08 09:50:00,INT-13,DIP - Al Asayel St,ambulance,8.8,5.6,0.67,19
2025-01-08 20:26:00,INT-16,Dubai Airport - Terminal 3,ambulance,17.5,15.9,0.59,6
2025-01-09 07:18:00,INT-16,Dubai Airport - Terminal 3,police,10.3,8.3,0.75,8
2025-01-09 12:50:00,INT-14,Academic City Roundabout,ambulance,10.9,7.9,0.64,17
2025-01-09 18:52:00,INT-09,Al Quoz Industrial,fire_truck,14.6,12.8,0.68,26
2025-01-09 11:04:00,INT-10,Jumeirah Beach Rd,fire_truck,11.6,9.3,0.88,12
2025-01-09 14:26:00,INT-10,Jumeirah Beach Rd,police,10.4,7.1,0.21,6
2025-01-10 09:16:00,INT-11,Palm Jumeirah Tunnel,ambulance,10.3,7.4,0.4,28
2025-01-10 21:44:00,INT-03,Al Maktoum Bridge,police,6.0,4.1,0.9,18
2025-01-10 17:16:00,INT-14,Academic City Roundabout,ambulance,19.1,16.6,0.87,26
2025-01-10 14:22:00,INT-16,Dubai Airport - Terminal 3,ambulance,15.8,12.6,0.45,22
2025-01-10 16:05:00,INT-01,Al Rigga - Salahuddin,ambulance,8.7,6.7,0.28,29
2025-01-10 00:00:00,INT-01,Al Rigga - Salahuddin,ambulance,16.2,12.2,0.55,27
2025-01-10 19:13:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,12.9,11.1,0.26,20
2025-01-10 16:24:00,INT-15,Hessa Street - Al Barsha,fire_truck,15.5,13.5,0.54,11
2025-01-11 16:34:00,INT-16,Dubai Airport - Terminal 3,fire_truck,12.7,11.1,0.7,11
2025-01-11 19:02:00,INT-05,Sheikh Zayed Rd - Interchange 1,police,6.5,3.0,0.43,29
2025-01-11 17:12:00,INT-04,Bur Dubai - Khalid Bin Waleed,police,6.3,3.9,0.37,16
2025-01-11 11:49:00,INT-06,DIFC - Gate Avenue,ambulance,10.1,6.8,0.83,7
2025-01-11 10:31:00,INT-03,Al Maktoum Bridge,fire_truck,12.1,8.8,0.27,27
2025-01-12 20:07:00,INT-07,Business Bay - Marasi Dr,ambulance,11.8,9.5,0.68,25
2025-01-12 13:29:00,INT-16,Dubai Airport - Terminal 3,fire_truck,12.5,9.3,0.74,23
2025-01-12 20:37:00,INT-04,Bur Dubai - Khalid Bin Waleed,police,6.7,4.9,0.52,13
2025-01-12 11:56:00,INT-15,Hessa Street - Al Barsha,fire_truck,12.0,10.3,0.39,29
2025-01-12 17:52:00,INT-13,DIP - Al Asayel St,fire_truck,10.5,8.2,0.67,11
2025-01-12 16:00:00,INT-15,Hessa Street - Al Barsha,ambulance,12.3,9.4,0.62,19
2025-01-12 20:03:00,INT-05,Sheikh Zayed Rd - Interchange 1,ambulance,9.8,8.3,0.86,24
2025-01-13 14:21:00,INT-02,Deira City Centre,fire_truck,18.5,16.3,0.28,13
2025-01-13 02:55:00,INT-11,Palm Jumeirah Tunnel,police,7.6,4.0,0.43,24
2025-01-13 14:34:00,INT-07,Business Bay - Marasi Dr,ambulance,9.9,6.4,0.38,6
2025-01-13 22:31:00,INT-12,Marina Walk - JBR,fire_truck,10.4,6.7,0.28,9
2025-01-13 18:54:00,INT-08,Dubai Mall Junction,police,12.0,10.4,0.33,25
2025-01-13 14:19:00,INT-03,Al Maktoum Bridge,police,6.6,4.5,0.56,15
2025-01-13 14:02:00,INT-07,Business Bay - Marasi Dr,fire_truck,13.2,9.3,0.79,13
2025-01-13 08:23:00,INT-09,Al Quoz Industrial,ambulance,17.6,14.2,0.24,5
2025-01-14 12:18:00,INT-11,Palm Jumeirah Tunnel,police,6.4,4.4,0.45,11
2025-01-14 16:17:00,INT-16,Dubai Airport - Terminal 3,police,7.8,4.6,0.75,12
2025-01-14 23:50:00,INT-08,Dubai Mall Junction,police,7.3,4.7,0.33,15
2025-01-14 09:38:00,INT-12,Marina Walk - JBR,fire_truck,10.3,7.2,0.85,13
2025-01-15 19:15:00,INT-11,Palm Jumeirah Tunnel,police,9.5,6.9,0.67,17
2025-01-15 00:54:00,INT-15,Hessa Street - Al Barsha,fire_truck,10.2,6.2,0.45,10
2025-01-15 08:08:00,INT-14,Academic City Roundabout,ambulance,8.2,4.3,0.78,23
2025-01-15 09:55:00,INT-14,Academic City Roundabout,ambulance,8.7,5.3,0.54,7
2025-01-15 12:40:00,INT-06,DIFC - Gate Avenue,fire_truck,12.5,9.3,0.74,25
2025-01-15 09:21:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,11.9,9.8,0.38,17
2025-01-15 14:13:00,INT-15,Hessa Street - Al Barsha,ambulance,9.1,6.7,0.34,16
2025-01-16 19:29:00,INT-14,Academic City Roundabout,ambulance,13.6,10.6,0.34,11
2025-01-16 01:17:00,INT-15,Hessa Street - Al Barsha,police,7.2,5.3,0.34,17
2025-01-16 07:55:00,INT-05,Sheikh Zayed Rd - Interchange 1,police,8.2,5.0,0.72,25
2025-01-16 17:50:00,INT-12,Marina Walk - JBR,fire_truck,12.7,9.3,0.51,18
2025-01-16 19:53:00,INT-12,Marina Walk - JBR,ambulance,8.2,5.2,0.36,7
2025-01-17 10:58:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,13.1,10.0,0.57,16
2025-01-17 12:01:00,INT-12,Marina Walk - JBR,ambulance,8.5,5.7,0.66,27
2025-01-17 14:27:00,INT-04,Bur Dubai - Khalid Bin Waleed,police,7.0,4.3,0.83,8
2025-01-17 19:47:00,INT-06,DIFC - Gate Avenue,ambulance,8.3,6.4,0.29,25
2025-01-17 19:48:00,INT-10,Jumeirah Beach Rd,fire_truck,15.2,12.7,0.26,10
2025-01-17 16:28:00,INT-01,Al Rigga - Salahuddin,fire_truck,14.1,10.6,0.38,8
2025-01-17 14:19:00,INT-12,Marina Walk - JBR,ambulance,12.7,9.3,0.66,24
2025-01-17 09:41:00,INT-07,Business Bay - Marasi Dr,ambulance,8.3,4.7,0.69,24
2025-01-18 18:05:00,INT-07,Business Bay - Marasi Dr,police,7.9,5.6,0.71,19
2025-01-18 08:18:00,INT-09,Al Quoz Industrial,ambulance,15.9,12.2,0.64,5
2025-01-18 22:27:00,INT-06,DIFC - Gate Avenue,fire_truck,11.8,10.3,0.7,16
2025-01-18 17:25:00,INT-01,Al Rigga - Salahuddin,ambulance,13.5,10.1,0.47,7
2025-01-18 12:57:00,INT-06,DIFC - Gate Avenue,ambulance,16.2,14.2,0.67,7
2025-01-18 15:47:00,INT-10,Jumeirah Beach Rd,ambulance,17.7,14.5,0.77,27
2025-01-18 10:50:00,INT-12,Marina Walk - JBR,fire_truck,12.4,8.5,0.78,15
2025-01-19 06:56:00,INT-11,Palm Jumeirah Tunnel,ambulance,10.9,8.7,0.78,15
2025-01-19 06:01:00,INT-06,DIFC - Gate Avenue,ambulance,9.4,6.0,0.21,13
2025-01-19 19:26:00,INT-15,Hessa Street - Al Barsha,police,6.6,2.9,0.39,16
2025-01-19 11:28:00,INT-13,DIP - Al Asayel St,ambulance,11.2,9.6,0.78,6
2025-01-19 08:07:00,INT-12,Marina Walk - JBR,police,12.3,10.4,0.46,19
2025-01-19 07:02:00,INT-08,Dubai Mall Junction,ambulance,8.0,4.9,0.84,25
2025-01-19 10:24:00,INT-09,Al Quoz Industrial,ambulance,9.6,5.7,0.27,20
2025-01-19 07:04:00,INT-01,Al Rigga - Salahuddin,ambulance,8.2,5.9,0.71,21
2025-01-20 18:24:00,INT-12,Marina Walk - JBR,ambulance,9.5,7.9,0.3,20
2025-01-20 12:06:00,INT-02,Deira City Centre,ambulance,9.8,7.0,0.53,8
2025-01-20 14:01:00,INT-09,Al Quoz Industrial,ambulance,9.1,5.4,0.55,21
2025-01-20 08:23:00,INT-07,Business Bay - Marasi Dr,fire_truck,11.3,9.7,0.66,16
2025-01-20 21:31:00,INT-15,Hessa Street - Al Barsha,ambulance,11.4,9.8,0.39,25
2025-01-20 12:12:00,INT-14,Academic City Roundabout,police,6.9,5.4,0.77,22
2025-01-21 19:46:00,INT-15,Hessa Street - Al Barsha,fire_truck,18.5,16.9,0.27,15
2025-01-21 15:22:00,INT-11,Palm Jumeirah Tunnel,ambulance,8.8,7.1,0.35,20
2025-01-21 20:02:00,INT-05,Sheikh Zayed Rd - Interchange 1,police,6.6,4.8,0.2,15
2025-01-22 03:40:00,INT-09,Al Quoz Industrial,ambulance,8.2,4.3,0.44,17
2025-01-22 13:25:00,INT-05,Sheikh Zayed Rd - Interchange 1,police,10.9,7.3,0.67,7
2025-01-22 05:08:00,INT-11,Palm Jumeirah Tunnel,ambulance,9.6,6.5,0.3,24
2025-01-23 13:49:00,INT-06,DIFC - Gate Avenue,ambulance,10.9,7.3,0.87,10
2025-01-23 18:49:00,INT-02,Deira City Centre,police,8.2,5.9,0.41,23
2025-01-23 10:39:00,INT-11,Palm Jumeirah Tunnel,fire_truck,13.8,12.2,0.6,28
2025-01-23 18:27:00,INT-14,Academic City Roundabout,ambulance,12.2,10.3,0.42,18
2025-01-23 17:57:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,17.9,15.3,0.59,10
2025-01-23 18:20:00,INT-10,Jumeirah Beach Rd,fire_truck,10.4,8.3,0.62,16
2025-01-24 19:57:00,INT-01,Al Rigga - Salahuddin,fire_truck,10.7,7.0,0.2,21
2025-01-24 13:06:00,INT-02,Deira City Centre,ambulance,8.8,5.5,0.38,24
2025-01-24 20:38:00,INT-04,Bur Dubai - Khalid Bin Waleed,police,6.8,4.4,0.31,18
2025-01-24 21:40:00,INT-14,Academic City Roundabout,police,6.9,3.5,0.6,21
2025-01-24 17:07:00,INT-10,Jumeirah Beach Rd,police,12.2,9.9,0.71,5
2025-01-24 17:51:00,INT-10,Jumeirah Beach Rd,fire_truck,10.0,8.3,0.26,20
2025-01-24 07:47:00,INT-03,Al Maktoum Bridge,ambulance,11.2,9.3,0.63,14
2025-01-24 19:13:00,INT-11,Palm Jumeirah Tunnel,police,9.2,6.2,0.84,8
2025-01-25 22:55:00,INT-13,DIP - Al Asayel St,fire_truck,10.6,8.0,0.63,9
2025-01-25 13:42:00,INT-10,Jumeirah Beach Rd,ambulance,8.5,5.6,0.79,22
2025-01-25 15:24:00,INT-04,Bur Dubai - Khalid Bin Waleed,police,6.3,4.5,0.34,10
2025-01-26 17:22:00,INT-04,Bur Dubai - Khalid Bin Waleed,ambulance,12.1,9.0,0.33,22
2025-01-26 03:50:00,INT-12,Marina Walk - JBR,police,6.2,3.3,0.76,12
2025-01-26 02:17:00,INT-14,Academic City Roundabout,police,7.5,3.8,0.3,20
2025-01-26 19:33:00,INT-09,Al Quoz Industrial,ambulance,8.2,4.4,0.51,12
2025-01-26 20:11:00,INT-11,Palm Jumeirah Tunnel,ambulance,8.2,5.7,0.53,9
